Size (sq. ft.),Bedrooms,Bathrooms,Age of House (Years),Distance to City Center (Miles),Price
2247.976522928395,4,4,10,18.061995814965922,3077421.2632691963
4783.142948203631,2,3,27,16.928083019283637,3482682.732
3820.7733439701824,5,3,4,17.874385140190657,3997571.8872855953
3234.097330466961,3,1,11,0.21468283648207698,3022427.926608157
1286.4820179467206,3,2,2,14.863879262491173,2000636.341827854
1286.3758894792916,3,4,40,11.023868471816614,2287383.493407631
855.5678935400776,1,4,37,11.506270731792553,1477331.4502385051
4411.175041409715,1,3,1,9.437119548319837,3276518.0478427783
3244.906051670119,3,3,25,14.879270663189564,3064540.530675586
3715.5193423026003,4,4,1,19.99680188048045,3817496.5516460086
690.5717749015307,4,3,11,14.239713349555851,2170164.538563966
4867.603349512775,1,1,39,13.593203279182525,2831610.5272770543
4262.747619521856,3,4,1,13.12331054203361,3928580.5170245734
1534.2920869844152,4,3,40,13.934712229962415,2453124.7169972765
1400.0298557112428,1,1,15,6.908038101873565,1351527.0839224677
1406.9798433551089,3,1,29,6.472372898961732,1893715.3818026371
1938.665869021966,2,4,46,15.708325767583075,2189839.337263639
2908.9282991818463,3,1,45,1.156451545324014,2671008.0367887607
2500.5580820253094,3,4,35,15.209029990247338,2835771.359312026
1881.4082168713844,5,1,3,16.295447544874413,2664468.0756425215
3292.1527367784697,5,4,10,10.479799395766728,4051153.2985782176
1213.7729868689842,2,4,23,18.2119471,1892320.4695644293
1885.4364535549598,2,4,17,9.514439999228971,2432102.344897218
2211.9921104922437,3,4,26,3.643924695107303,2967790.479448294
2606.7079305549582,4,1,36,7.291833109262789,2742190.2211965406
4054.7742301292596,2,4,1,18.126763368028616,3424524.765808375
1478.5646414967828,3,3,14,19.87539194,2136447.4000996025
2862.631529019891,1,1,10,8.494893943,2076090.8037524482
3206.624102992987,5,4,26,3.4202462573137913,4069580.0444545355
804.381816,4,1,48,5.797952676659342,1810904.7725551254
3273.1973483663287,3,1,47,11.110597216027882,2644059.647966924
1350.3061442240828,1,1,46,11.484708773715216,1080131.8147420546
886.2270091352299,5,1,22,12.63818219320224,2145022.778807887
